REALLOC tok @ 0000016CB71A2A50 with (tok_cap) * sizeof('\0') (72) -> @ 0000016CB719F690 | tokens.c:134
MALLOC sizeof(Token) (16) @ 0000016CB719AE10 | tokens.c:136
FREE t @ 0000016CB719AE10 | ast.c:609
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B10 | ast.c:613
FREE t @ 0000016CB719AFB0 | ast.c:613
MALLOC sizeof(FunctionDef) (80) @ 0000016CB71A5080 | ast.c:616
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
REALLOC (&args)->elements @ 0000000000000000 with ((&args)->capacity) * sizeof(t->string) (16) -> @ 0000016CB719AD30 | ast.c:631
FREE t @ 0000016CB719AFB0 | ast.c:632
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A90 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A90 | ast.c:636
FREE t @ 0000016CB719AFB0 | ast.c:636
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC strlen(t->string) + 1 (2) @ 0000016CB71A2A60 | ast.c:213
FREE (t)->string @ 0000016CB71A2A50 | ast.c:217
FREE t @ 0000016CB719AFB0 | ast.c:217
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADB0 | tokens.c:136
REALLOC ty @ 0000016CB71A2A60 with len + 1 (5) -> @ 0000016CB71A2A70 | ast.c:222
FREE (t)->string @ 0000016CB71A2A50 | ast.c:226
FREE t @ 0000016CB719ADB0 | ast.c:226
